ID,Locality,Lat,Long,Locality Details,Sample Identifier,ID,Species,Sex,Age,Date captured,Year,d2H,"""Local"" to SW ID? (based in dD)",d13C (‰),d15N (‰),Weight %C,Weight %N,Weight %C:N,Atomic C:N,Sr,Uncertainty
1533-04078,"Snowbank, ID",44.41959722,-116.1438778,,,1533-04078,Sharp-shinned,Female,Juvenile,9/14/2017,2017,-138.2838002,Nope,,,,,,,0.71177,±0.00005
1533-04079,"Snowbank, ID",44.41959722,-116.1438778,,,1533-04079,Sharp-shinned,Female,Juvenile,9/15/2017,2017,-112.919242,Yep,,,,,,,0.7097403,±0.00005
1533-04074,"Snowbank, ID",44.41959722,-116.1438778,,,1533-04074,Sharp-shinned,Female,Juvenile,9/9/2017,2017,-99.35308335,Yep,,,,,,,0.707269414,±0.00005
1533-04076,"Snowbank, ID",44.41959722,-116.1438778,,,1533-04076,Sharp-shinned,Female,Juvenile,9/13/2017,2017,-104.204006,Yep,,,,,,,0.710656205,±0.00005
1533-04071,"Snowbank, ID",44.41959722,-116.1438778,,,1533-04071,Sharp-shinned,Female,Juvenile,9/9/2017,2017,-132.1108725,Nope,,,,,,,0.713716647,±0.00005
1533-04073,"Snowbank, ID",44.41959722,-116.1438778,,,1533-04073,Sharp-shinned,Female,Juvenile,9/11/2017,2017,-120.4,Nope,,,,,,,0.70814255,±0.00005
1533-04070,"Snowbank, ID",44.41959722,-116.1438778,,,1533-04070,Sharp-shinned,Female,Juvenile,9/9/2017,2017,-101.3,Yep,,,,,,,0.709644637,±0.00005
1533-04072,"Snowbank, ID",44.41959722,-116.1438778,,,1533-04072,Sharp-shinned,Female,Juvenile,9-Sep,2017,-99.1,Yep,,,,,,,0.707397861,±0.00005
None,"Boise, ID",43.613859,-116.201833,approximated using city name and Google Earth,,None,Black Merlin,Female,Juvenile,12/1/2017,2017,-98.7,Yep,,,,,,,0.7116949,±0.00005
None,"Eagle, ID",43.695558,-116.354414,approximated using city name and Google Earth,,None,Black Merlin,Female,Juvenile,23-Dec-10,2010,-99.6,Yep,,,,,,,0.70761344,±0.00005
1004-11562,"Nampa, ID",43.576033,-116.55962,approximated using city name and Google Earth,,1004-11562,Black Merlin,Female,Juvenile,15-Dec-17,2017,-100,Yep,,,,,,,0.7096299,±0.00005
1004-11549,"Eagle, ID",43.69998056,-116.3135778,"Horseshoe Bend Rd. and Big Springs, Eagle",,1004-11549,Taiga Merlin,Female,Juvenile,18-Dec-16,2016,-58.8,Nope,,,,,,,0.708729,±0.00005
1004-11560,"Meridian, ID",43.609789,-116.391033,approximated using city name and Google Earth,,1004-11560,Taiga Merlin,Female,Juvenile,10-Dec-17,2017,-108,Yep,,,,,,,0.7085467,±0.00005
1004-11564,"Meridian, ID",43.609789,-116.391033,approximated using city name and Google Earth,,1004-11564,Black Merlin,Female ,Juvenile,18-Dec-17,2017,-112.2,Nope?,,,,,,,0.7081572,±0.00005
1004-11561,"Nampa, ID",43.576033,-116.55962,approximated using city name and Google Earth,,1004-11561,Black Merlin,Female,Juvenile,43082,2017,-46,Nope,,,,,,,0.7084313,±0.00005
